Total attrs: 57375
past greats	过去的伟人
ISBN11	isbn11
original architect	原始建筑师
photographer	摄影师
Related acts	相关行为
nobel_laureates	nobel_laureates
Undergraduate	本科
Honors	荣誉
birh_date	birh_date
partyyears9	partyyears9
partyyears8	partyyears8
Grouplet	这一组
Weak isospin projection	弱同位旋投影
partyyears1	partyyears1
partyyears3	partyyears3
partyyears2	partyyears2
partyyears5	partyyears5
partyyears4	partyyears4
sortkey	排序关键字
partyyears6	partyyears6
name Bold text	黑体字
FINA code	国际泳联的代码
Notable instruments	值得注意的乐器
governor-general	总督
smallestvictory	smallestvictory
engines	发动机
translation_title	translation_title
home_SO	home_so
Cliff aspect	悬崖方面
Ship ramps	船舶坡道
imagen_bandera	imagen_bandera
engined	引擎
Deputy Speakers	副发言人
Weaponry	武器装备
refurbished	翻新
School grade	学校成绩
open_date	open_date
fossil_emblem	fossil_emblem
last_induction	last_induction
Quotation	报价
Arabic version-Meddle east	阿拉伯语版染指东
total debt	债务总额
related_channels	related_channels
catering	餐饮
items_collected	items_collected
current champion	现任冠军
introductory price	介绍价格
currentuse	目前
Property_List	property_list
culturename	culturename
uciregistration	uciregistration
Fast_Rider_MotoGP_Bike	fast_rider_motogp_bike
first_fusion	first_fusion
Market	市场
School-board	学校董事会
publication website	出版物网站
worldcup	世界杯
weak attacking team	弱攻击队
library webpage	图书馆网页
domestic cup winner	国内杯冠军
director general	总干事
image shows	图像显示
brake	制动
Incharge Coordinator	负责协调
Nshow_name	nshow_name
french magazine	法国杂志
Mar rain mm	月雨毫米
descent	下降
labelstyle	LabelStyle
Record attendance	记录考勤
niall morgan?	尼尔摩根吗？
Founding priest	创始牧师
convictions	信念
perimeter	周长
prev_link	prev_link
chief6position	chief6position
birt_place	birt_place
Most runs	大多数运行
Ph.D.	博士
Enrollment	招生
King_title1	king_title1
Date effective	日期生效
YearActive	yearactive
Style / tradition	风格/传统
political orientation	政治取向
nis	NIS
working title	工作头衔
Released to  manufacturing	发布到制造业
aspect ratio	长宽比
area-rank	区域等级
first_run	first_run
median income	中等收入
us_nces_school_id	us_nces_school_id
captain3_year	captain3_year
Traction motors	牵引电机
Most wins (team)	最胜（队）
World Championships	世界锦标赛
Pro vice_chancellor	亲vice_chancellor
ISO 3166-2	ISO 3166-2
refereeyear3start	refereeyear3start
Commerce end 4	电子商务4
stat_pop7	stat_pop7
OGAEVC worst	ogaevc坏
popscol	popscol
Commerce end 2	电子商务2
Commerce end 3	电子商务3
political organisationy	政治organisationy
film editing	电影编辑
h9-number	H9号
gedelegeerd bestuurder	gedelegeerd bestuurder
max-players	最大玩家
Attested by	经
quotes	引用
president_canditate2	president_canditate2
human	人类
ship flag	船旗
organising secretary	组织秘书
pastor emeritus	荣誉牧师
pages 　　　　	页
Previous Label	以前的标签
alternate_titles	alternate_titles
within_units	within_units
image-name	图像名
occupants	居住者
National Olympic Committee	国家奥林匹克委员会
Soundtrack	原声大碟
is stack	栈
Tuition Day	学费日
occuptation	职业
ocuppation	ocuppation
ref_copy	ref_copy
Former name	前名
Cross Town Rivals	跨城市的竞争对手
Ship displacement (full)	船舶位移（全）
leading role	主导作用
Original by	原创
stat_pop3	stat_pop3
stat_pop2	stat_pop2
stat_pop1	stat_pop1
ABFLUSSWEG	abflussweg
civil parish	民事教区
stat_pop6	stat_pop6
stat_pop5	stat_pop5
stat_pop4	stat_pop4
Fast2_Rider_SBK	fast2_rider_sbk
stat_pop9	stat_pop9
stat_pop8	stat_pop8
map image name	地图图像名
Chief Justice 2 start	首席大法官2开始
ISBN15	isbn15
Topographic_map	topographic_map
ISBN10	isbn10
ISBN13	ISBN13码
ISBN12	isbn12
MEP(s)	MEP（S）
country.	国家。
country2	country2
country3	国家
country1	国家
country6	country6
country7	国
Most successful club(s)	最成功的俱乐部
country5	国家举办过
country8	country8
bgcolor_url	bgcolor_url
Prince	王子
Ship Nuclear Reactor status	舰船核反应堆状态
location_county	location_county
blank2_label	blank2_label
cup_title6	cup_title6
cup_title5	cup_title5
cup_title3	cup_title3
maxim	马克西姆
carsign	carsign
Stable	稳定
native_name_lang(2)	（2）native_name_lang
best_movie	best_movie
clubsong	clubsong
railexits1314	railexits1314
First airdate	第一个日期
payload2-location	payload2位置
prédécesseur 1	公关éDécesseur 1
2nd Unit	第二单位
elev_min_m	elev_min_m
incidental_music_composers	incidental_music_composers
other name(s)	其他名称（秒）
Ship class	船舶类
School	学校
repository	知识库
marketing	营销
unkwown	unkwown
ttalgoals	ttalgoals
province website	省网站
production companies	生产企业
former_operator	former_operator
ABFLUSS-PEGEL	abfluss-pegel
Amphibian	两栖动物
Attraction type	吸引式
grown_up	grown_up
Property	财产
properties	性能
trophy	奖杯
voice president 1	声音1
highestlength_km	highestlength_km
newspapers	报纸
population_densitymi³	population_densitymi³
coachclubs1	coachclubs1
max ride height_ft	麦克斯骑height_ft
Capital city	资本城市
Transmission(s)	传输（s）
coordinates_dim	coordinates_dim
Firegrate area	炉篦面积
prisoners	囚犯
discharge number	放电数
current host	当前主机
street-address1	street-address1
currency_type	currency_type
based on the books by	根据图书的
Saddle Location	鞍点位置
Ship sunk	沉没
Ascendency_from	ascendency_from
Owner / General Manager	业主/总经理
Annual budget	年度预算
org/group	组织/组
Matches	比赛
citizenship_3_title	citizenship_3_title
World Team titles	世界队冠军
subunit_name_1	subunit_name_1
3c-wins	3C胜
subunit_name_3	subunit_name_3
subunit_name_2	subunit_name_2
subunit_name_5	subunit_name_5
clubcapps2	clubcapps2
subunit_name_7	subunit_name_7
dean of admissions	招生办主任
ISO_3166-1_alpha2	iso_3166-1_alpha2
ISO_3166-1_alpha3	iso_3166-1_alpha3
Botanical	植物学的
lowest	最低
wikiquote	语录
onlytesthome	onlytesthome
playoffs_finish	playoffs_finish
notable_credits	notable_credits
school chief warrant officer	学校首席令官
Image_text	image_text
major works	主要作品
Structural Engineer	结构工程师
prenomen_hiero	prenomen_hiero
nba_profiel	nba_profiel
cover art	封面艺术
DensityRank	densityrank
other credits	其他学分
Most Goals	大多数目标
wifes children	妻子的孩子
Moto3 Last position	moto3最后位置
Area km2	面积平方公里
previous president	前任总统
notable_awards	notable_awards
season start	季节开始
Total depressions	总洼地
lieutenant_governor1	lieutenant_governor1
lieutenant_governor2	lieutenant_governor2
h2prod	h2prod
CFLSouthAllStar	cflsouthallstar
license_place	license_place
umpire	裁判
Total_Prize_Money	total_prize_money
windance	windance
score1	1
score2	score2
leaguename	leaguename
archive	档案
ftcolortop	ftcolortop
titre services	滴度的服务
Toll Free No	免费通行费
mens premier coach	男装英超教练
cardiff_distance_km	cardiff_distance_km
Previous Set	前一组
Validity	有效性
GCR_president	gcr_president
coin_toss	coin_toss
holding	举办
nocat	nocat
Opened chapters	打开章节
no_plural	no_plural
date_cons	date_cons
SEcondary school	中学
data_pib	data_pib
marketing_tagline	marketing_tagline
ALTERNATIVNAME	alternativname
Famous diamonds	著名钻石
Shutdown date	关机日期
date_conc	date_conc
currentordinal	currentordinal
postdoc_advisor (Harvard)	postdoc_advisor（哈佛）
First free ascent	第一次自由上升
Home page	主页
Estate	地产
associatedacts	associatedacts
Townships	乡
Guest appearances	客人外貌
inspgen start	inspgen开始
aircraft_attack	aircraft_attack
static image_name	静态image_name
Olympic sport	奥林匹克运动
Other club(s) from	其他俱乐部（的）
{{abbr|MOP (Offense)|Most outstanding player on offense	{ {简称|拖把（进攻）|最杰出球员的进攻
NRHP Reference	国家史迹名录参考
MapImage	mapimage
Concur	同意
exhibitions	展览
Pregame	赛前
type of commuting	通勤型
cvr_alt	cvr_alt
gross revenue	总收入
source_elevation	source_elevation
vice head	副总
bore x stroke	孔×冲程
Viewfinder magnification	取景器放大倍率
associated companies	联属公司
Fine Art Representation	精细艺术表现
AnzahlFahrmotoren	anzahlfahrmotoren
Geographical range	地理范围
date 2014	日期2014
Ski club	滑雪俱乐部
distrito3	distrito3
date 2013	日期2013
share source	分享来源
tse_number	tse_number
political_status_ref	political_status_ref
conference11_wins	conference11_wins
robust_struct_dim1	robust_struct_dim1
robust_struct_dim2	robust_struct_dim2
coachyear5start	coachyear5start
former one3b	前one3b
sovereignty	主权
efafcup_champs	efafcup_champs
Environmental Protection end	环境保护底
agglomeration	集聚
tipo_otros1	tipo_otros1
conference8_wins	conference8_wins
additional editing	附加编辑
MTVAsiaW	mtvasiaw
administrative body	行政主体
associate dean (academic)	副院长（学术）
Student Gov.	学生州长
usedby	使用
subchairman	副主席
fansite	网站
Hideflag	hideflag
Seasonal	季节性
medical superintendent	医疗主任
icon1	可以是
max_device_size	max_device_size
award40N	award40n
youngshield	youngshield
award40W	award40w
date_of_incorporation	date_of_incorporation
country 1 admin divisions title	国家1行政区划名称
inversions	倒置
commentators5	commentators5
commentators4	commentators4
commentators3	commentators3
commentators2	commentators2
parent(s)	父（母）
MINT_G	mint_g
Official religion	官方宗教
Date Founded	日期成立
Optional battery packs	可选电池包
readership (Australia)	读者群（澳大利亚）
clubs35	clubs35
clubs34	clubs34
MINT_P	mint_p
clubs31	clubs31
clubs30	clubs30
clubs33	clubs33
clubs32	clubs32
Overturned previous case	推翻前一案
Initiated by	发起
language(s)	语言（s）
discharge_round	discharge_round
District webpage	区域网页
3gmobile chan 1	3G陈1
flat_rides	flat_rides
Image_Alt	image_alt
MuchMusicW	muchmusicw
asst principal_label	助理principal_label
President of Baseball Operations	棒球运动主席
MuchMusicN	muchmusicn
uc_former	uc_former
news report	新闻报道
Home Coaches	家庭教练
keystaff3name	keystaff3name
Common_name	common_name
Countries / regions	国家/地区
music and lyrics	音乐和歌词
country 1 admin divisions 2	国1行政区划2
former frequencies	前频率
2blankname4	2blankname4
2blankname5	2blankname5
2blankname6	2blankname6
2blankname7	2blankname7
this_play	this_play
2blankname1	2blankname1
2blankname2	2blankname2
2blankname3	2blankname3
monastic name	寺院的名字
TeenChoiceW	teenchoicew
2blankname8	2blankname8
2blankname9	2blankname9
assistant_head_label	assistant_head_label
studied	研究
zip code	邮政编码
Original signatories	原始签名者
eccentricty	eccentricty
webcite	网站
amount	量
joined_fiba	joined_fiba
tournament Status	比赛状态
deputy commissioner	副局长
place_of_birth_date	place_of_birth_date
Jan humidity	简湿度
trainer	教练
EL RASTA PUTOS genre	埃尔RASTA putos体裁
Deans	院长
student dean	学生教务长
500 Race Wins	500场比赛获胜
dedicated_to	dedicated_to
season_end	season_end
Near By Air Ports	附近的航空港
Time_zone	time_zone
trained	训练
ZeeGoldW	zeegoldw
lastupdate	最后更新时间
following_states	following_states
Current Status	现状
QUELLE_LAT_NS	quelle_lat_ns
Winning Manager	获胜经理
AMF World cup first	AMF世界杯第一
bronzeNPC2	bronzenpc2
germay germany	德国德国
top run scorer	上跑得分手
top_scorer	top_scorer
Nummernreihe	nummernreihe
Third-place 10px	第三位10px
talk_time	talk_time
postgraduate_label	postgraduate_label
Spindles	主轴
Native_Language	native_language
commenced	开始
Fed cup best	美联储杯
activity1name	activity1name
stage3thrust	stage3thrust
hongkongfilmwards	hongkongfilmwards
horses1	horses1
store locations	存储位置
coalition	联盟
Height	高度
grapeABV	grapeabv
Schanze3	schanze3
Schanze4	schanze4
company(s)	公司（公司）
associate web producers	联想网络生产商
Date of Suspension	中止日期
Cheerleaders	啦啦队
blank5_data	blank5_data
dropped_sports	dropped_sports
all_stars_link	all_stars_link
dept_payment	dept_payment
composer, additional Score	作曲家，附加成绩
ru_coachteam1	ru_coachteam1
ru_coachteam2	ru_coachteam2
colloquialacronym	colloquialacronym
ru_coachteam4	ru_coachteam4
:Kanji	：汉字
umpfcdebutyr	umpfcdebutyr
continentalcup1 qualifier	continentalcup1预选赛
Two_Team	two_team
line9	延伸
BMIW	BMIW
variation1textcolor	variation1textcolor
chancellor2	chancellor2
chancellor3	chancellor3
imagerightsize	imagerightsize
chancellor1	chancellor1
general_contractor	general_contractor
Public transit access	公共交通接入
chancellor4	chancellor4
chancellor5	chancellor5
chancellor8	chancellor8
Decommissioned	退役
Operation(s)	操作（操作）
European Best	欧洲最好
jointrunnersup2	jointrunnersup2
released version	发布版本
Arrested	逮捕
mediatype	MediaType
Schools Name	学校名称
GEMEINDEN	市镇
tries	尝试
expectedabandonment	expectedabandonment
PAGENAME	而
launched date	推出日期
Home_Mountain	home_mountain
English_release_date	english_release_date
Subdivision 1	细分1
local_council	local_council
music release	音乐发行
rookie of the year	年度最佳新秀
teamB_qtr5	teamb_qtr5
height_m	height_m
height_n	height_n
dean_of_students_name	dean_of_students_name
SS Poles	不锈钢杆
CourtSeal	courtseal
Originating era	起源时代
Sports	体育
In-Charge	主管
chief_apostle	chief_apostle
adjutant_general	adjutant_general
Past Member.	过去成员。
lithology	岩性
coordenates	坐标
Lead director	领导主任
ISSN/ISBN	ISSN/ISBN
clubs26	clubs26
deck width	甲板宽度
residential Units	住宅单位
clubs29	clubs29
MeshIe	meshie
Return air	返回空气
Past Members	过去成员
primary_deity_Goddess	primary_deity_goddess
position and style	位置和风格
constitution-synopsis	宪法概要
FormerName	formername
area_gained_year2	area_gained_year2
total_fatalities_usa	total_fatalities_usa
founder4a	founder4a
mail address	邮件地址
Not Danger	不危险
divisional dean	分区主任
Railway station	火车站
proposed_date	proposed_date
date_built	date_built
production unit manager	生产单元经理
subdivision_nme2	subdivision_nme2
subdivision_nme3	subdivision_nme3
disbanding	解散
current-president	现任总统
formernumber/s	formernumber / s
0-60 mph	0-60英里
U20WC first	u20wc第一
local_nascimento	local_nascimento
2014 Champion team	2014冠军队
metro population_total	地铁population_total
funding_source	funding_source
rocket_configuration	rocket_configuration
liveactor	liveactor
Adapt_link	adapt_link
André Lefebvre de La Boulaye	安德烈é勒菲弗de la boulaye
Birth_Year	birth_year
school store website	学校商城网站
casualties 1	伤亡1
c4	C4
Saturn MOID	土星模型
coachgamesF	coachgamesf
EWC Poles	平衡杆
ITM_E	itm_e
founded title	创建标题
WASL	WASL
primary_school_principal	primary_school_principal
leave_reason	leave_reason
chiefjudgetitle	chiefjudgetitle
years9.	years9。
work_institutions	work_institutions
session4end	session4end
Complete	完成
faculty_members	faculty_members
twin15	twin15
twin14	twin14
VicePresident	副总统
dance lighting	舞蹈照明
twin11	twin11
twin10	二十双胞胎10
Edges	边缘
Shoot place	射击场所
no. of lines	线的编号
number_of _shows	number_of _shows
Built at	建于
Noborder2	noborder2
Noborder3	noborder3
Noborder4	noborder4
startwork	工作
refereeyear1end	refereeyear1end
Training location	训练地点
ProvinceCode	provincecode
club–update	俱乐部更新
Mar high F	高己
ifyearjoined	ifyearjoined
former_leaders_title	former_leaders_title
Mar high C	高碳
Ship Boats	船船
consolidated_liabilities	consolidated_liabilities
can10-stat	can10统计
current_champions	current_champions
production_gas_bcm/y	production_gas_bcm / Y
twin1y	twin1y
latd2	latd2
french_names	french_names
latd1	latd1
Davis Cup	戴维斯杯
firstclassdebutdate	firstclassdebutdate
french name link	法国名称链接
coordinate	坐标
Date opened:	日期打开：
In service	在服务
charged	带电
military serial	军用系列
SCOTUS cases	司各脱案例
Prosecutor(s)	检察官（的）
Peak acceleration	峰值加速度
dancers	舞者
Current city	当前城市
SexBomb_years	sexbomb_years
polaceofburial_label	polaceofburial_label
2nd Hand-Pelota singles championship	第二手回力球的单打冠军
prev_edition	prev_edition
RCseats	rcseats
Religon	宗教
Religom	religom
year_event	year_event
top_seed2	top_seed2
top_seed3	top_seed3
chlidren	孩子们
population_label3	population_label3
population_label2	population_label2
alt_shorts	alt_shorts
company_CEO	company_ceo
chief_editor	chief_editor
Ship service	船舶服务
discontinue	停止
AchsabstandDerFahrgestelle	achsabstandderfahrgestelle
Tour	旅游
death cause	死亡原因
symbolism	象征主义
ac_year	ac_year
plural_subunit_2	plural_subunit_2
NAME-1	name-1
NAME-2	name-2
plural_subunit_1	plural_subunit_1
leader8_type	leader8_type
person3name	person3name
Head Office location	总公司所在地
restricted-firearms-synopsis	受限火器概要
Movie genre	电影流派
Legislative_Council	legislative_council
prior occupation	优先占用
ILO-98date	ilo-98date
Alumni name	校友姓名
Last contested	最后一个有争议的
supported platforms	支撑平台
Ex-Label	前标签
chronology	年表
opened6	opened6
opened4	opened4
opened5	opened5
opened2	opened2
opened3	opened3
blank8_name	blank8_name
Office_Bearers	office_bearers
Government	政府
provincial_boards	provincial_boards
fording_depth	fording_depth
GNEast_Poles	gneast_poles
Campus size	校园规模
ancestor arts	祖先艺术
Ship OPERATIONS depth	船舶作业深度
japanactor	japanactor
Created Kohan	创建：
awardname	awardname
forks	福克斯
rifling	膛线
Head Of School	学校主任
opera tor	算子
ROHSTOFF2	rohstoff2
ROHSTOFF3	rohstoff3
secondlegreplay	secondlegreplay
ROHSTOFF1	rohstoff1
Coined political statement	创造的政治声明
business	业务
Catalog No.	目录编号
principal_college	principal_college
ruling_party3	ruling_party3
ruling_party2	ruling_party2
ntl_team_3	ntl_team_3
ntl_team_2	ntl_team_2
ruling_party5	ruling_party5
Signature	签名
lastIPLaway	lastiplaway
single 2 fecha	单2日
comparison	比较
film_version	film_version
Shi hold depth	施深度
lifetime earnings	终身收益
Band Members	乐队成员
Acronym(s)	首字母缩写词
highest average attendance	最高平均出席率
processor	处理器
chief_operating_officer	chief_operating_officer
Story	故事
Carding Equipment	梳理设备
Culture start 2	文化开始2
secondleg	secondleg
Music Producer	音乐制作人
elementary	小学
student_body_name	student_body_name
youngest_champ	youngest_champ
box_kowin	box_kowin
mother and father	母亲和父亲
area	地区
can12-stat	can12统计
legend_no	legend_no
{{{cor-type|}THDL	{ { {肺型| } thdl
BladeColourImage	bladecolourimage
kickbox_kowin	kickbox_kowin
age_65 years	age_65年
Manufacturer	制造商
Asst coach	助理教练
To par	平价
imagesize	图像大小
Editor-in-Chief	总编辑
aflstatseason	aflstatseason
natfed	natfed
namecolour	namecolour
associated_label	associated_label
City Manager	城市经理
associated_labes	associated_labes
مستخدميه	مستخدميه
bassin	盆地
NikkeiBP_KOY	nikkeibp_koy
multitasking	多任务处理
Time period	时间周期
English title	英文名称
replacement_date	replacement_date
Councilors	议员
lHQ_city	lhq_city
Next single year	下一年
rebuild_date	rebuild_date
Dec rain days	雨天
Commander-in-chief	总司令
revised name	修改名称
vice-dean	副院长
Tire suppliers	轮胎供应商
class29	商标注册类别29
class28	class28
num_served	num_served
class21	类别21
class20	类别20
ReargueYear2	reargueyear2
Ship sponsor	船舶发起人
state_senate15	state_senate15
marking	标记
state_senate10	state_senate10
yod	Yod
yob	小伙
ringtone	铃声
Political Career	政治生涯
valid	有效
students per teacher ratio	教师比例
allirelands	allirelands
Lat	土地增值税
FR_metropole_population	fr_metropole_population
associatedact	associatedact
Legal deposit	法定存款
Feast Day	盛宴日
Father-in-Law	法律之父
conference3_ties	conference3_ties
architectural_style	architectural_style
place_death	place_death
formerchoreograper	formerchoreograper
building	建筑
title 1	标题1
title 2	标题2
webiste	网站
number_of_floors	number_of_floors
Executive	执行
sibilings	兄弟姐妹
xwatch-at-sea-time	在海上的时候xwatch
Name_of_Surah	name_of_surah
Development coach6	发展COACH6
restored	恢复
train_name	train_name
SA Last season	上个赛季
signalling	信令
licensor	许可方
dc_year	dc_year
landmark_types	landmark_types
Existence	存在
{{	{
throws	抛出
additional graphic design	附加平面设计
Lieutenant Governor 2	副州长2
organizationname	organizationname
re-opened	重新打开
STL predecessor	STL的前身
costum desineer	服装包括
ranking in Area Studies	区域研究排名
number_of_shows_cancelled	number_of_shows_cancelled
nb_saisons	nb_saisons
parl_name	parl_name
beta launch	β发射
Connector	连接器
head of primary college	小学主任
countray	国家
opened/closed	开/关
length-km_	length-km_
community_link	community_link
Mobile Website	移动网站
alt ave	ALT大道
Sports Editor	体育编辑
nationalyears	nationalyears
Second_Team2	second_team2
Other units	其他单位
lancashirecupyears	lancashirecupyears
Dir. of Oper.	目录。操作。
assistant athletic director	助理体育总监
Canonized	册封
co executive_producer	公司executive_producer
WimbledonMixedDoublesresult	wimbledonmixeddoublesresult
former skatign club	前skatign俱乐部
0-60	0-60
icon_size	icon_size
band_members	band_members
ru_coachyear1start	ru_coachyear1start
net_interest_income	net_interest_income
city/branches	城市/分支
Alias(es)	别名（专家组）
JURY-FLAG	jury-flag
Current SpeakerSabhapati	目前speakersabhapati
official_id	official_id
facebook	Facebook
total_caps	total_caps
ouzo	茴香酒
tickets	门票
Image alt text	图像的ALT文本
tournaments	比赛
exits	出口
College colours	大学颜色
gender	性别
local_authority	local_authority
shirt no	衬衣没有
garage	车库
lowest_elevation_imperial	lowest_elevation_imperial
verdict	判决
viceprincipal academics affair	viceprincipal学术事务
conviction_penaltay	conviction_penaltay
University2	大学
Race drivers	赛车手
level(s)	等级（的）
population_densty_rank	population_densty_rank
type of harbour	港口类型
liquidation	清算
mohs	莫氏
<ref nameCNBC-TV18	<参考namecnbc-tv18
Final Issue	最后一期
onlyt20iaway	onlyt20iaway
Online Promotion	网上推广
career_end	career_end
Equipment	设备
LÄNGE2	我ÄNGE2所
Ass.Cleark	屁股文员
First_Race1_time	first_race1_time
tour_members	tour_members
Incoming formation	形成
leader title3	领导职称加3
asst. principal	副校长
County cities	县城市
insignia2	insignia2
minor premiers	小总理
coa_link	coa_link
University:	大学：
assets_date	assets_date
production_assistants	production_assistants
resting_place_coordinates	resting_place_coordinates
stage1diff	stage1diff
Ship passenger capacity	船舶载客量
smallimage	查询
NITtourney	nittourney
sophomores	大二
poles	极点
leader_name_2	leader_name_2
leader_name_1	leader_name_1
degree types	度类型
U21	U21
image sixe	图像尺寸
Main contractors	主要承包商
affiliation code	从属关系码
rival schools	竞争学校
Secondary schools	中学
date_formats	date_formats
Ship constructed	建造船舶
father:	父亲：
state_legislature	state_legislature
pattern_s	pattern_s
Juz_number	juz_number
father3	father3
LongtitudeMinutes1	longtitudeminutes1
poll2_party1	poll2_party1
Creates	创建
Creater	生成器
wlowerseed_game4	wlowerseed_game4
Declination	磁偏角
wlowerseed_game2	wlowerseed_game2
wlowerseed_game3	wlowerseed_game3
wlowerseed_game1	wlowerseed_game1
map_image	map_image
listing_level	listing_level
Football Director	足球总监
leader titles	领导头衔
frame rate	帧速率
Comment	评论
home pitch	家间距
Joint committees	联合委员会
designated_other1_date	designated_other1_date
spiritual_leader	spiritual_leader
idx	IDX
AP	美联社
engine type	发动机型号
Damage (U.S.)	伤害（美国）
Directed by	导演
Top10Singleslink	top10singleslink
Telefon	电话
Tea_infusion_number	tea_infusion_number
IT20debutdate	it20debutdate
Freestyle	自由泳
mboard_governor	mboard_governor
datasource	数据源
Committee	委员会
pattern_b	pattern_b
Arabic	阿拉伯
tournament1	tournament1
tournament4	tournament4
altSp	altsp
block	块
birth date	出生日期
asst. city editor	助理编辑
award23W	award23w
Product category	产品类别
stabilization	稳定
addresses	地址
MV link	中压链路
catalogue no.	目录编号
Per Capita GDP Rank	人均国内生产总值
general_secretary	general_secretary
absmag_v	absmag_v
mawards	mawards
foundatiion	基础
subdivisionn_type2	subdivisionn_type2
Pulsewidth	脉冲宽度
Overall length	总长度
award23N	award23n
birth Name	出生名
Created	创建
writing period	写作时期
Sufi_order	sufi_order
statistics	统计
zoo name	动物园名称
Novels	小说
UK seats3	英国seats3
recteur	recteur
6th Form	第六形态
clubnumber	clubnumber
deputy_governor	deputy_governor
telescope2_name	telescope2_name
Based in	基于
uniform_color	uniform_color
rivalries	对抗
tournament3	锦标赛
CommerceLabor 3	commercelabor 3
license date	许可证日期
Admissions number	招生数
background music	背景音乐
mmadecwins	mmadecwins
Pole_time	pole_time
registered	注册
assamese_translit	assamese_translit
xej2	xej2
Spectator capacity	观众容量
AADT	年平均日交通量
1c-place	1C的地方
reel	卷轴
ClubName	clubname
IUCN_category	iucn_category
info	信息
utc	UTC
statistic2	statistic2
Design2	设计
Design5	设计
Design4	设计
Single 1 Date	单1日
Design6	design6
Twitter	推特
operative cameramen	手术者
design_date	design_date
Alma Matar	阿尔玛Matar
total_circulation	total_circulation
competition5winner	competition5winner
acting_head	acting_head
operating system(s)	操作系统（）
assistant principal(s)	助理校长（的）
NCAARegionalFinal	ncaaregionalfinal
campus (Junior)	校园（初级）
Co – produced	合作生产
grandsie	grandsie
WS Championships	WS锦标赛
Economy 3	经济3
Economy 2	经济2
OfficialLang	officiallang
organisator	organisator
Personnel	人员
principal, gr 9	主，GR 9
image99	image99
classrooms	教室
fuel tank capacity	燃油箱容量
holder_label	holder_label
Ship placed in service	船舶服务
Amla_mater	amla_mater
(σ<sub>t</sub>)Tensile strength	（σ<子> T＜/子>）抗拉强度
Live Link	活连接
south_custom_station	south_custom_station
support units	支持单位
former status	前状态
nam	越南
A1	A1
2012–13	2012 13
A3	A3
Principal_Pops_Conductor	principal_pops_conductor
A4	A4
nat	NAT
ship nickname	船舶昵称
coordinate_region	coordinate_region
race7_pole	race7_pole
flag-type	旗型
status_functional	status_functional
Town or city	城市或城市
draw	画
World champ2 name	世界champ2名称
Reverse	反向
Gender	性别
stats_league	stats_league
fewest	最少
AO	AO
Apparent magnitude	视震级
convicted-persons-synopsis	被定罪者概要
photography director	摄影导演
Heats	加热
song writer	歌曲作者
plays	起
spouse	配偶
Documentary	纪录片
Past titleholders	过去的拳王
structure	结构
Other entries	其他条目
Chief Minister3	首席minister3
Chief Minister2	首席minister2
competition2winner	competition2winner
principal_conductors	principal_conductors
towpath	纤道
grams	克
Chief Minister4	首席minister4
term start5	长期start5
Firmware memory	固件存储器
coat of arms legend	大衣的武器传说
youtube	YouTube
Disbanded	解散
aux4 name	aux4名称
regionals	区域
campus_chief	campus_chief
wardnumber	wardnumber
Busch_Wins	busch_wins
stageyears1	stageyears1
central office	中央办公室
notable_exhibits	notable_exhibits
Mandirji telephone No.	mandirji电话号
conference11	conference11
conference10	conference10
conference12	conference12
Korean_Name	korean_name
Schedule type	附表类型
longest_run	longest_run
party_position	party_position
goldCGA	goldcga
activity_sector	activity_sector
country_of_origin	country_of_origin
notable_albums	notable_albums
previous_alliances	previous_alliances
early_leadership	early_leadership
adopted	采用
battle_name	battle_name
Current_members	current_members
chairman	主席
Racial_groups	racial_groups
ex spouse	前配偶
neurotransmitter	神经递质
Night Skiing	夜间滑雪
final	最后
Assistant Managers	助理经理
beard	胡子
assocname	assocname
Blood type	血型
First_Rider_MotoGP_Country	first_rider_motogp_country
Alumni	校友
static_image_size	static_image_size
cân nặng	CânặNG
edior	编辑
deputy commander-in-chief	副总司令
surface_note	surface_note
maj	少校
Director of Political Affairs	政治事务主任
legislature_name1	legislature_name1
legislature_name2	legislature_name2
training camp	训练营
Facility ID	设备标识
SRC president 2013	SRC总裁2013
producer	制片人
digitaleditor	digitaleditor
highest_state	highest_state
soure_id	soure_id
population of Female	女性人口
From the Album	从专辑
playoffs_MVP	playoffs_mvp
primary school principal	小学校长
Sister newspapers	姐妹报纸
engine_type	engine_type
Presented by	提出
Other codes	其他代码
redeveloped	重建
postacode	postacode
blankdetails1	blankdetails1
highlightss	highlightss
blankdetails3	blankdetails3
blankdetails2	blankdetails2
blankdetails4	blankdetails4
totalnationalgoals	totalnationalgoals
pushpin_caption1	pushpin_caption1
average_channels	average_channels
less wins	少赢
Webpage	网页
Ex-Member(s)	前成员（的）
founder/king	创始人/国王
principal IB, ICSE, Cambridge	主IB，ICSE，剑桥
Moto2 Manufacturers	Moto2制造商
LogoAltText	logoalttext
extended to	延伸到
VMALAN	vmalan
flag_finalist	flag_finalist
place of death_date	地方death_date
lyrics	歌词
Related scientific disciplines	相关科学学科
ringtones	铃声
retire	退休
Municipal Council	市政局
rcdbnumber2	rcdbnumber2
houses	房屋
command Sergeant Major1_label	警官major1_label
GFS code	GFS代码
signature_phrase	signature_phrase
date_created	date_created
soccerstadium	soccerstadium
Registered_name	registered_name
clprovinceh	clprovinceh
Inauguration at Kollam	就职典礼在Kollam
asst. principals	副校长
officialresidence	officialresidence
